====================================================================================================
Detailed Report of 2019-04-25
====================================================================================================

Time Slot    Time Period          True         Predicted    Error        MSE          MAE         
221          18:25-18:29          151          175          24           584.72       24          
222          18:30-18:34          132          150          18           317.75       18          
223          18:35-18:39          131          123          -8           66.40        8           
224          18:40-18:44          113          109          -4           19.36        4           
225          18:45-18:49          142          93           -49          2357.57      49          
226          18:50-18:54          127          95           -32          1043.42      32          
227          18:55-18:59          96           92           -4           15.51        4           
228          19:00-19:04          86           83           -3           10.32        3           
229          19:05-19:09          92           75           -17          295.87       17          
230          19:10-19:14          76           71           -5           24.89        5           
231          19:15-19:19          71           65           -6           38.05        6           
232          19:20-19:24          66           59           -7           43.26        7           
233          19:25-19:29          54           55           1            0.88         1           
234          19:30-19:34          39           49           10           94.98        10          
235          19:35-19:39          28           41           13           169.82       13          
236          19:40-19:44          23           33           10           105.12       10          
237          19:45-19:49          22           27           5            20.55        5           
238          19:50-19:54          29           22           -7           56.10        7           
239          19:55-19:59          22           19           -3           8.03         3           
240          20:00-20:04          22           18           -4           13.94        4           
241          20:05-20:09          8            18           10           91.51        10          
242          20:10-20:14          20           16           -4           12.94        4           
243          20:15-20:19          13           16           3            9.08         3           
244          20:20-20:24          24           15           -9           73.72        9           
245          20:25-20:29          19           15           -4           13.12        4           
246          20:30-20:34          10           15           5            26.38        5           
247          20:35-20:39          15           14           -1           0.26         1           
248          20:40-20:44          10           14           4            17.55        4           
249          20:45-20:49          13           14           1            0.52         1           
250          20:50-20:54          25           13           -12          134.15       12          
251          20:55-20:59          22           14           -8           69.07        8           
252          21:00-21:04          19           14           -5           27.80        5           
253          21:05-21:09          17           14           -3           11.81        3           
254          21:10-21:14          29           13           -16          245.71       16          
255          21:15-21:19          37           14           -23          546.62       23          
256          21:20-21:24          43           14           -29          831.31       29          
257          21:25-21:29          18           15           -3           10.29        3           
258          21:30-21:34          23           14           -9           78.66        9           
259          21:35-21:39          19           14           -5           27.22        5           
260          21:40-21:44          20           13           -7           44.31        7           
261          21:45-21:49          23           13           -10          100.79       10          
262          21:50-21:54          18           13           -5           27.59        5           
263          21:55-21:59          19           12           -7           44.74        7           
264          22:00-22:04          44           12           -32          1024.30      32          
265          22:05-22:09          29           13           -16          264.56       16          
266          22:10-22:14          17           13           -4           18.98        4           
267          22:15-22:19          15           12           -3           9.04         3           
268          22:20-22:24          6            12           6            30.99        6           
269          22:25-22:29          4            11           7            48.69        7           
270          22:30-22:34          4            10           6            41.17        6           
271          22:35-22:39          3            10           7            48.29        7           
272          22:40-22:44          2            10           8            56.61        8           
273          22:45-22:49          2            9            7            50.79        7           
274          22:50-22:54          4            9            5            22.88        5           
275          22:55-22:59          0            9            9            72.87        9           
276          23:00-23:04          4            8            4            17.74        4           
277          23:05-23:09          0            8            8            64.20        8           
278          23:10-23:14          0            8            8            60.26        8           
279          23:15-23:19          0            8            8            56.73        8           
280          23:20-23:24          1            7            6            40.13        6           
281          23:25-23:29          0            7            7            51.57        7           
282          23:30-23:34          0            7            7            49.15        7           
283          23:35-23:39          0            7            7            46.85        7           
284          23:40-23:44          0            7            7            44.73        7           
285          23:45-23:49          0            7            7            42.71        7           
286          23:50-23:54          0            6            6            40.79        6           
287          23:55-23:59          0            6            6            38.95        6           

====================================================================================================
Daily Summary
====================================================================================================
MSE:                     1472.5798
MAE:                     18.0347
True Total Volume:       17729
Predicted Total Volume:  16621
Total Volume Error:      -1108
