====================================================================================================
Detailed Report of 2019-04-24
====================================================================================================

Time Slot    Time Period          True         Predicted    Error        MSE          MAE         
76           06:20-06:24          0            9            9            79.49        9           
77           06:25-06:29          1            11           10           95.69        10          
78           06:30-06:34          3            13           10           93.88        10          
79           06:35-06:39          9            15           6            31.49        6           
80           06:40-06:44          12           17           5            21.45        5           
81           06:45-06:49          21           19           -2           5.05         2           
82           06:50-06:54          20           22           2            2.52         2           
83           06:55-06:59          19           24           5            23.87        5           
84           07:00-07:04          40           26           -14          208.79       14          
85           07:05-07:09          63           28           -35          1208.28      35          
86           07:10-07:14          54           50           -4           16.73        4           
87           07:15-07:19          138          59           -79          6307.37      79          
88           07:20-07:24          239          155          -84          7033.26      84          
89           07:25-07:29          376          324          -52          2673.80      52          
90           07:30-07:34          496          441          -55          3057.58      55          
91           07:35-07:39          540          462          -78          6099.33      78          
92           07:40-07:44          442          420          -22          489.65       22          
93           07:45-07:49          384          323          -61          3670.22      61          
94           07:50-07:54          320          262          -58          3389.90      58          
95           07:55-07:59          192          208          16           252.19       16          
96           08:00-08:04          100          147          47           2168.57      47          
97           08:05-08:09          62           56           -6           41.74        6           
98           08:10-08:14          59           39           -20          394.45       20          
99           08:15-08:19          59           35           -24          561.06       24          
100          08:20-08:24          54           34           -20          397.57       20          
101          08:25-08:29          43           33           -10          90.51        10          
102          08:30-08:34          40           33           -7           52.54        7           
103          08:35-08:39          50           32           -18          308.98       18          
104          08:40-08:44          41           33           -8           58.01        8           
105          08:45-08:49          19           34           15           219.26       15          
106          08:50-08:54          44           32           -12          133.60       12          
107          08:55-08:59          29           33           4            17.75        4           
108          09:00-09:04          27           33           6            37.92        6           
109          09:05-09:09          34           33           -1           2.03         1           
110          09:10-09:14          29           33           4            14.01        4           
111          09:15-09:19          27           33           6            32.21        6           
112          09:20-09:24          28           32           4            19.32        4           
113          09:25-09:29          35           32           -3           7.23         3           
114          09:30-09:34          64           33           -31          959.19       31          
115          09:35-09:39          154          38           -116         13530.36     116         
116          09:40-09:44          121          97           -24          594.79       24          
117          09:45-09:49          112          138          26           654.65       26          
118          09:50-09:54          85           129          44           1902.97      44          
119          09:55-09:59          61           107          46           2097.54      46          
120          10:00-10:04          14           76           62           3799.04      62          
121          10:05-10:09          20           41           21           428.44       21          
122          10:10-10:14          7            34           27           741.17       27          
123          10:15-10:19          20           32           12           141.83       12          
124          10:20-10:24          15           31           16           261.77       16          
125          10:25-10:29          18           31           13           158.59       13          
126          10:30-10:34          18           30           12           151.90       12          
127          10:35-10:39          6            30           24           590.08       24          
128          10:40-10:44          15           30           15           214.12       15          
129          10:45-10:49          16           30           14           187.69       14          
130          10:50-10:54          24           30           6            36.21        6           
131          10:55-10:59          17           31           14           188.34       14          
132          11:00-11:04          44           31           -13          175.05       13          
133          11:05-11:09          91           33           -58          3376.33      58          
134          11:10-11:14          79           49           -30          927.29       30          
135          11:15-11:19          87           63           -24          579.02       24          
136          11:20-11:24          118          79           -39          1507.01      39          
137          11:25-11:29          146          113          -33          1081.77      33          
138          11:30-11:34          221          156          -65          4239.93      65          
139          11:35-11:39          301          261          -40          1563.22      40          
140          11:40-11:44          487          416          -71          4986.92      71          
141          11:45-11:49          836          697          -139         19308.94     139         
142          11:50-11:54          1227         950          -277         76843.81     277         
143          11:55-11:59          1295         894          -401         160666.27    401         
144          12:00-12:04          849          688          -161         26066.84     161         
145          12:05-12:09          543          468          -75          5672.27      75          
146          12:10-12:14          373          342          -31          977.93       31          
147          12:15-12:19          360          267          -93          8606.88      93          
148          12:20-12:24          202          245          43           1836.02      43          
149          12:25-12:29          147          171          24           554.27       24          
150          12:30-12:34          91           113          22           505.38       22          
151          12:35-12:39          66           83           17           287.67       17          
152          12:40-12:44          89           53           -36          1295.57      36          
153          12:45-12:49          45           43           -2           4.62         2           
154          12:50-12:54          38           37           -1           0.75         1           
155          12:55-12:59          29           34           5            24.78        5           
156          13:00-13:04          14           32           18           330.50       18          
157          13:05-13:09          10           31           21           421.62       21          
158          13:10-13:14          6            29           23           544.39       23          
159          13:15-13:19          4            28           24           594.44       24          
160          13:20-13:24          4            28           24           560.85       24          
161          13:25-13:29          0            27           27           734.04       27          
162          13:30-13:34          3            26           23           549.03       23          
163          13:35-13:39          0            26           26           680.24       26          
164          13:40-13:44          0            26           26           659.58       26          
165          13:45-13:49          0            25           25           644.44       25          
166          13:50-13:54          0            25           25           632.62       25          
167          13:55-13:59          0            25           25           623.22       25          
168          14:00-14:04          0            25           25           615.16       25          
169          14:05-14:09          0            25           25           607.68       25          
170          14:10-14:14          0            25           25           600.69       25          
171          14:15-14:19          0            24           24           593.93       24          
172          14:20-14:24          0            24           24           587.30       24          
173          14:25-14:29          0            24           24           580.77       24          
174          14:30-14:34          0            24           24           574.16       24          
175          14:35-14:39          0            24           24           567.63       24          
176          14:40-14:44          0            24           24           560.99       24          
177          14:45-14:49          0            24           24           554.30       24          
178          14:50-14:54          0            23           23           547.57       23          
179          14:55-14:59          0            23           23           540.80       23          
180          15:00-15:04          3            23           20           404.34       20          
181          15:05-15:09          0            23           23           534.72       23          
182          15:10-15:14          6            23           17           286.95       17          
183          15:15-15:19          6            23           17           291.30       17          
184          15:20-15:24          10           23           13           172.99       13          
185          15:25-15:29          7            23           16           267.72       16          
186          15:30-15:34          1            23           22           498.30       22          
187          15:35-15:39          2            23           21           436.74       21          
188          15:40-15:44          2            23           21           424.09       21          
189          15:45-15:49          1            22           21           455.76       21          
190          15:50-15:54          2            22           20           402.36       20          
191          15:55-15:59          3            22           19           355.32       19          
192          16:00-16:04          1            22           21           428.88       21          
193          16:05-16:09          4            21           17           304.63       17          
194          16:10-16:14          21           21           0            0.14         0           
195          16:15-16:19          48           22           -26          666.61       26          
196          16:20-16:24          165          25           -140         19729.16     140         
197          16:25-16:29          241          65           -176         31139.67     176         
198          16:30-16:34          266          165          -101         10245.98     101         
199          16:35-16:39          117          243          126          15924.23     126         
200          16:40-16:44          66           189          123          15046.37     123         
201          16:45-16:49          79           127          48           2279.95      48          
202          16:50-16:54          103          100          -3           7.35         3           
203          16:55-16:59          84           94           10           107.88       10          
204          17:00-17:04          80           82           2            3.29         2           
205          17:05-17:09          131          75           -56          3160.90      56          
206          17:10-17:14          90           84           -6           37.95        6           
207          17:15-17:19          183          78           -105         10987.69     105         
208          17:20-17:24          170          118          -52          2752.91      52          
209          17:25-17:29          233          144          -89          7928.89      89          
210          17:30-17:34          233          195          -38          1411.94      38          
211          17:35-17:39          162          228          66           4314.17      66          
212          17:40-17:44          137          195          58           3395.67      58          
213          17:45-17:49          180          161          -19          359.41       19          
214          17:50-17:54          172          167          -5           28.73        5           
215          17:55-17:59          204          163          -41          1682.08      41          
216          18:00-18:04          169          176          7            48.42        7           
217          18:05-18:09          151          163          12           149.89       12          
218          18:10-18:14          176          144          -32          1000.97      32          
219          18:15-18:19          189          148          -41          1667.62      41          
220          18:20-18:24          224          159          -65          4260.40      65          
221          18:25-18:29          168          183          15           231.81       15          
222          18:30-18:34          102          166          64           4115.48      64          
223          18:35-18:39          87           119          32           1012.39      32          
224          18:40-18:44          55           91           36           1280.19      36          
225          18:45-18:49          116          73           -43          1882.36      43          
226          18:50-18:54          80           75           -5           29.84        5           
227          18:55-18:59          81           67           -14          182.90       14          
228          19:00-19:04          95           63           -32          1055.06      32          
229          19:05-19:09          74           63           -11          117.09       11          
230          19:10-19:14          68           58           -10          90.81        10          
231          19:15-19:19          64           54           -10          98.17        10          
232          19:20-19:24          52           51           -1           1.72         1           
233          19:25-19:29          50           46           -4           18.04        4           
234          19:30-19:34          27           42           15           212.26       15          
235          19:35-19:39          22           33           11           126.81       11          
236          19:40-19:44          24           26           2            4.18         2           
237          19:45-19:49          17           21           4            16.92        4           
238          19:50-19:54          11           18           7            56.20        7           
239          19:55-19:59          23           17           -6           33.54        6           
240          20:00-20:04          23           17           -6           38.88        6           
241          20:05-20:09          18           16           -2           2.48         2           
242          20:10-20:14          10           16           6            34.54        6           
243          20:15-20:19          13           15           2            4.33         2           
244          20:20-20:24          17           15           -2           5.84         2           
245          20:25-20:29          8            14           6            40.54        6           
246          20:30-20:34          26           14           -12          149.78       12          
247          20:35-20:39          7            14           7            49.80        7           
248          20:40-20:44          12           13           1            2.06         1           
249          20:45-20:49          18           13           -5           24.28        5           
250          20:50-20:54          15           13           -2           3.69         2           
251          20:55-20:59          7            13           6            34.59        6           
252          21:00-21:04          6            12           6            39.96        6           
253          21:05-21:09          8            12           4            15.00        4           
254          21:10-21:14          20           12           -8           70.07        8           
255          21:15-21:19          28           12           -16          264.26       16          
256          21:20-21:24          61           12           -49          2385.66      49          
257          21:25-21:29          57           14           -43          1853.00      43          
258          21:30-21:34          13           15           2            4.59         2           
259          21:35-21:39          36           14           -22          484.71       22          
260          21:40-21:44          21           14           -7           47.61        7           
261          21:45-21:49          19           14           -5           29.56        5           
262          21:50-21:54          21           13           -8           65.37        8           
263          21:55-21:59          50           12           -38          1406.32      38          
264          22:00-22:04          51           13           -38          1415.27      38          
265          22:05-22:09          31           14           -17          287.04       17          
266          22:10-22:14          14           14           0            0.17         0           
267          22:15-22:19          11           12           1            2.14         1           
268          22:20-22:24          4            12           8            56.76        8           
269          22:25-22:29          14           11           -3           10.51        3           
270          22:30-22:34          6            10           4            19.15        4           
271          22:35-22:39          1            10           9            78.89        9           
272          22:40-22:44          3            9            6            39.54        6           
273          22:45-22:49          3            9            6            34.23        6           
274          22:50-22:54          1            8            7            56.00        7           
275          22:55-22:59          0            8            8            65.60        8           
276          23:00-23:04          3            8            5            22.38        5           
277          23:05-23:09          0            8            8            56.26        8           
278          23:10-23:14          0            7            7            52.53        7           
279          23:15-23:19          0            7            7            49.31        7           
280          23:20-23:24          0            7            7            46.60        7           
281          23:25-23:29          0            7            7            44.12        7           
282          23:30-23:34          0            6            6            41.82        6           
283          23:35-23:39          0            6            6            39.79        6           
284          23:40-23:44          0            6            6            37.91        6           
285          23:45-23:49          0            6            6            36.09        6           
286          23:50-23:54          0            6            6            34.36        6           
287          23:55-23:59          0            6            6            32.73        6           

====================================================================================================
Daily Summary
====================================================================================================
MSE:                     2047.1554
MAE:                     22.5326
True Total Volume:       18737
Predicted Total Volume:  17262
Total Volume Error:      -1475
